Prov,Mun,Brgy,Area,Lat,Long,Occurance,Elev,Slope,Aspect,HorizontalCurvature,VerticalCurvature,Lithology,SoilType,PGAComp,Landslide
Cotabato,Magpet,Bangkal,7421.9,7.08552,125.221,29/31,723,5.745756626,North,0.036515675,0.001238086,Dacitic and/or andesitic plugs,Undifferentiated,0.266412407,1
Cotabato,Magpet,Don Panaca,2693.76,7.11227,125.249,29/31,1160,38.48743439,Northwest,0.005066408,0.001059132,Dacitic and/or andesitic plugs,Undifferentiated,0.182396099,1
Cotabato,Magpet,Don Panaca,4435.13,7.11243,125.254,29/31,992,16.86908531,West,-0.018158183,0.014837915,Dacitic and/or andesitic plugs,Undifferentiated,0.191744417,1
Cotabato,Magpet,Don Panaca,5760.51,7.11535,125.257,29/31,1021,46.07237244,Southeast,0.011285552,-0.006377786,Dacitic and/or andesitic plugs,Undifferentiated,0.194366381,1
Cotabato,Magpet,Don Panaca,4633.43,7.13242,125.253,29/31,1081,21.96456909,Northwest,0.169374377,0.007815846,Dacitic and/or andesitic plugs,Undifferentiated,0.144925416,1
Cotabato,Kidapawan,Ilomavis,4722.04,7.03235,125.189,29/31,754,9.007558823,West,0.008271848,0.002354213,Dacitic and/or andesitic plugs,Undifferentiated,0.242175564,1
Cotabato,Kidapawan,Ilomavis,420.458,7.03046,125.189,29/31,769,7.406058788,Northwest,0.007438989,0.039679859,Dacitic and/or andesitic plugs,Undifferentiated,0.242175564,1
Cotabato,Kidapawan,Balabag,1532.43,7.02015,125.196,29/31,905,19.1305809,West,-0.028134864,0.025686063,Dacitic and/or andesitic plugs,Undifferentiated,0.213659272,1
Cotabato,Kidapawan,Balabag,375.729,7.02564,125.194,29/31,848,4.89548254,East,-0.013619815,-0.003759627,Dacitic and/or andesitic plugs,Undifferentiated,0.223310545,1
Cotabato,Kidapawan,Ilomavis,605.195,7.02835,125.203,29/31,937,12.91864014,North,0.004192608,0.000993693,Dacitic and/or andesitic plugs,Undifferentiated,0.226516455,1
Cotabato,Kidapawan,Ilomavis,742.72,7.0291,125.207,29/31,952,14.28804493,East,-0.04169663,-0.003839385,Dacitic and/or andesitic plugs,Undifferentiated,0.226516455,1
Cotabato,Kidapawan,Ilomavis,1919,7.03065,125.207,16,1006,26.42800903,South,-0.001299801,-0.017209383,Dacitic and/or andesitic plugs,Undifferentiated,0.226516455,1
Cotabato,Kidapawan,Ilomavis,420.117,7.02965,125.205,29/31,962,7.441758633,Northwest,0.006221549,0.001251397,Dacitic and/or andesitic plugs,Undifferentiated,0.226516455,1
Cotabato,Kidapawan,Ilomavis,1093.39,7.02931,125.216,29/31,1081,23.79413795,East,0.000363577,-0.012216393,Dacitic and/or andesitic plugs,Undifferentiated,0.231597155,1
Cotabato,Kidapawan,Ilomavis,1106.37,7.03022,125.215,29/31,1056,25.34189606,North,-0.000323717,0.005295128,Dacitic and/or andesitic plugs,Undifferentiated,0.231597155,1
Cotabato,Kidapawan,Ilomavis,3720.39,7.02832,125.22,29/31,1098,26.7440834,West,0.016230339,0.002225793,Dacitic and/or andesitic plugs,Undifferentiated,0.196745768,1
Cotabato,Kidapawan,Ilomavis,5429.88,7.028,125.22,29/31,1111,30.63698959,Southwest,-0.001429747,0.001284573,Dacitic and/or andesitic plugs,Undifferentiated,0.196745768,1
Cotabato,Kidapawan,Ilomavis,12726.7,7.03012,125.223,29/31,1070,50.89337158,South,-0.007053819,0.003270957,Dacitic and/or andesitic plugs,Undifferentiated,0.18848978,1
Cotabato,Kidapawan,Ilomavis,73.2268,7.02114,125.226,29/31,1243,30.89194679,Northeast,0.011721955,-0.019628434,Dacitic and/or andesitic plugs,Undifferentiated,0.205292493,1
Cotabato,Kidapawan,Ilomavis,61.8186,7.02038,125.226,29/31,1258,33.35137177,Northeast,-0.00126841,-0.015421843,Dacitic and/or andesitic plugs,Undifferentiated,0.205292493,1
Cotabato,Kidapawan,Ilomavis,3123.22,7.01978,125.226,29/31,1292,35.25790787,Southwest,-0.005385622,0.003981741,Dacitic and/or andesitic plugs,Undifferentiated,0.205292493,1
Cotabato,Kidapawan,Ilomavis,476.372,7.02007,125.226,29/31,1301,38.51375198,Southwest,-0.008245122,0.002106549,Dacitic and/or andesitic plugs,Undifferentiated,0.205292493,1
Cotabato,Kidapawan,Ilomavis,688.236,7.02052,125.225,29/31,1294,37.33296204,Southwest,0.040748592,0.030720096,Dacitic and/or andesitic plugs,Undifferentiated,0.205292493,1
Cotabato,Kidapawan,Ilomavis,1071.16,7.0196,125.227,29/31,1263,43.70957947,Northeast,-0.003350813,-0.001266561,Dacitic and/or andesitic plugs,Undifferentiated,0.205292493,1
Cotabato,Kidapawan,Ilomavis,2100.5,7.02213,125.223,29/31,1248,16.40750122,East,-0.00638468,-0.012788702,Dacitic and/or andesitic plugs,Undifferentiated,0.205292493,1
Cotabato,Makilala,Sinkatulan,8681.94,6.92979,125.003,29/31,121,13.22933292,Northeast,-0.093922079,0.002953405,"Marine clastics, pyroclastics",Sandy Clay Loam,0.353803754,1
Cotabato,M'lang,New Consolacior,24350,6.99304,124.96,29/31,77,7.576589108,West,-0.003812183,0.004600293,Recent deposits,Sandy Clay Loam,0.356461883,1
Cotabato,Tulunan,Batang,1470.76,6.82517,125.045,29/31,508,17.74477768,North,-0.126366124,-0.003101337,"Marine clastics, pyroclastics",Sandy Clay Loam,0.337250143,1
Cotabato,Tulunan,Batang,218.082,6.83325,125.037,29/31,400,28.2590313,East,0.001195151,-0.001756125,"Marine clastics, pyroclastics",Sandy Clay Loam,0.292923719,1
Cotabato,Tulunan,Batang,1433.04,6.83298,125.038,29/31,399,27.30111885,Northeast,0.001195151,-0.001756125,"Marine clastics, pyroclastics",Sandy Clay Loam,0.313882858,1
Cotabato,Tulunan,Batang,2324.95,6.83046,125.039,29/31,388,13.42702961,Southwest,0.003467956,0.002744509,"Marine clastics, pyroclastics",Sandy Clay Loam,0.283572704,1
Cotabato,Tulunan,Batang,1223.75,6.82955,125.039,29/31,359,22.15745735,Northeast,-0.024604684,-0.005713024,"Marine clastics, pyroclastics",Sandy Clay Loam,0.283572704,1
Cotabato,Tulunan,Batang,303.818,6.83255,125.039,29/31,437,9.938819885,Northwest,0.029880045,0.023978041,"Marine clastics, pyroclastics",Sandy Clay Loam,0.313882858,1
Cotabato,Tulunan,Batang,367.763,6.83285,125.039,29/31,436,9.373875618,Northwest,-0.006869818,0.018651908,"Marine clastics, pyroclastics",Sandy Clay Loam,0.313882858,1
Cotabato,Tulunan,Batang,347.641,6.83944,125.039,29/31,452,3.504636049,Southwest,-0.00078029,0.001886866,"Marine clastics, pyroclastics",Sandy Clay Loam,0.341859937,1
Cotabato,Makilala,Leboce,23517.7,6.92402,125.011,29/31,189,14.58956337,Southwest,-0.003164401,0.010502899,"Marine clastics, pyroclastics",Sandy Clay Loam,0.349014521,1
Cotabato,Tulunan,Bacong,931.821,6.8134,125.047,29/31,331,25.2436924,Southwest,0.00939048,0.000447872,Andesite and/or basalt flows,Sandy Clay Loam,0.314760655,1
Cotabato,Tulunan,Bacong,880.697,6.81362,125.047,29/31,365,26.97032738,Southeast,0.02915589,-0.010718098,Andesite and/or basalt flows,Sandy Clay Loam,0.314760655,1
Cotabato,Tulunan,Bacong,1586.49,6.81277,125.045,29/31,339,26.92259598,North,-0.004065413,-0.001569844,Andesite and/or basalt flows,Sandy Clay Loam,0.314760655,1
Cotabato,Tulunan,Bacong,970.075,6.81167,125.047,29/31,340,12.41508579,East,-0.002761657,-0.001661565,Andesite and/or basalt flows,Sandy Clay Loam,0.328742385,1
Cotabato,Tulunan,Bacong,1941.72,6.80912,125.047,29/31,400,19.17995834,Southwest,0.008236079,0.001411109,Andesite and/or basalt flows,Sandy Clay Loam,0.328742385,1
Cotabato,Tulunan,Bacong,497.732,6.8092,125.047,29/31,390,8.343781471,West,0.029998349,0.001023539,Andesite and/or basalt flows,Sandy Clay Loam,0.328742385,1
Cotabato,Tulunan,Bacong,5860.49,6.80895,125.048,29/31,398,15.9628334,South,-0.000224173,0.000861217,Andesite and/or basalt flows,Sandy Clay Loam,0.399162859,1
Cotabato,Tulunan,Bacong,112.743,6.8093,125.045,29/31,447,10.37606716,Southeast,-0.019216523,-0.00077764,Andesite and/or basalt flows,Sandy Clay Loam,0.328742385,1
Cotabato,Tulunan,Bacong,129.717,6.80939,125.045,29/31,442,16.78232002,South,-0.030366106,0.001753745,Andesite and/or basalt flows,Sandy Clay Loam,0.328742385,1
Cotabato,Tulunan,Bacong,1687.55,6.80415,125.049,29/31,507,37.90299225,West,0.003722974,0.005650047,Andesite and/or basalt flows,Sandy Clay Loam,0.414522857,1
Cotabato,Tulunan,Bacong,527.53,6.80453,125.049,29/31,515,37.45510101,Northwest,0.018999042,0.001813522,Andesite and/or basalt flows,Sandy Clay Loam,0.414522857,1
Cotabato,Tulunan,Bacong,669.829,6.80604,125.048,29/31,485,15.88579464,North,0.005075783,0.002223246,Andesite and/or basalt flows,Sandy Clay Loam,0.414522857,1
Cotabato,Tulunan,Bacong,554.766,6.80568,125.048,29/31,484,24.0004921,West,0.029955134,0.011128194,Andesite and/or basalt flows,Sandy Clay Loam,0.414522857,1
Cotabato,Tulunan,Bacong,774.156,6.80643,125.05,29/31,413,12.72803211,Northeast,-0.0109808,-0.009714254,Andesite and/or basalt flows,Sandy Clay Loam,0.414522857,1
Cotabato,Tulunan,Daig,131.031,6.80567,125.05,29/31,423,20.95881271,Southeast,0.015988229,-0.001125829,Andesite and/or basalt flows,Sandy Clay Loam,0.414522857,1
